Step,Epsilon
0,0.9
1,0.9
2,0.9
3,0.9
4,0.9
5,0.9
6,0.9
7,0.9
8,0.9
9,0.9
10,0.9
11,0.9
12,0.9
13,0.9
14,0.9
15,0.9
16,0.9
17,0.9
18,0.9
19,0.9
20,0.9
21,0.9
22,0.9
23,0.9
24,0.9
25,0.9
26,0.9
27,0.9
28,0.9
29,0.9
30,0.9
31,0.9
32,0.9
33,0.9
34,0.9
35,0.9
36,0.9
37,0.9
38,0.9
39,0.9
40,0.9
41,0.9
42,0.9
43,0.9
44,0.9
45,0.9
46,0.9
47,0.9
48,0.9
49,0.9
50,0.9
51,0.9
52,0.9
53,0.9
54,0.9
55,0.9
56,0.9
57,0.9
58,0.9
59,0.9
60,0.9
61,0.9
62,0.9
63,0.9
64,0.9
65,0.9
66,0.9
67,0.9
68,0.9
69,0.9
70,0.9
71,0.9
72,0.9
73,0.9
74,0.9
75,0.9
76,0.9
77,0.9
78,0.9
79,0.9
80,0.9
81,0.9
82,0.9
83,0.9
84,0.9
85,0.9
86,0.9
87,0.9
88,0.9
89,0.9
90,0.9
91,0.9
92,0.9
93,0.9
94,0.9
95,0.9
96,0.9
97,0.9
98,0.9
99,0.89991
100,0.89991
101,0.89991
102,0.89991
103,0.89991
104,0.89991
105,0.89991
106,0.89991
107,0.89991
108,0.89991
109,0.89991
110,0.89991
111,0.89991
112,0.89991
113,0.89991
114,0.89991
115,0.89991
116,0.89991
117,0.89991
118,0.89991
119,0.89991
120,0.89991
121,0.89991
122,0.89991
123,0.89991
124,0.89991
125,0.89991
126,0.89991
127,0.89991
128,0.89991
129,0.89991
130,0.89991
131,0.89991
132,0.89991
133,0.89991
134,0.89991
135,0.89991
136,0.89991
137,0.89991
138,0.89991
139,0.89991
140,0.89991
141,0.89991
142,0.89991
143,0.89991
144,0.89991
145,0.89991
146,0.89991
147,0.89991
148,0.89991
149,0.89991
150,0.89991
151,0.89991
152,0.89991
153,0.89991
154,0.89991
155,0.89991
156,0.89991
157,0.89991
158,0.89991
159,0.89991
160,0.89991
161,0.89991
162,0.89991
163,0.89991
164,0.89991
165,0.89991
166,0.89991
167,0.89991
168,0.89991
169,0.89991
170,0.89991
171,0.89991
172,0.89991
173,0.89991
174,0.89991
175,0.89991
176,0.89991
177,0.89991
178,0.89991
179,0.89991
180,0.89991
181,0.89991
182,0.89991
183,0.89991
184,0.89991
185,0.89991
186,0.89991
187,0.89991
188,0.89991
189,0.89991
190,0.89991
191,0.89991
192,0.89991
193,0.89991
194,0.89991
195,0.89991
196,0.89991
197,0.89991
198,0.89991
199,0.899820009
200,0.899820009
201,0.899820009
202,0.899820009
203,0.899820009
204,0.899820009
205,0.899820009
206,0.899820009
207,0.899820009
208,0.899820009
209,0.899820009
210,0.899820009
211,0.899820009
212,0.899820009
213,0.899820009
214,0.899820009
215,0.899820009
216,0.899820009
217,0.899820009
218,0.899820009
219,0.899820009
220,0.899820009
221,0.899820009
222,0.899820009
223,0.899820009
224,0.899820009
225,0.899820009
226,0.899820009
227,0.899820009
228,0.899820009
229,0.899820009
230,0.899820009
231,0.899820009
232,0.899820009
233,0.899820009
234,0.899820009
235,0.899820009
236,0.899820009
237,0.899820009
238,0.899820009
239,0.899820009
240,0.899820009
241,0.899820009
242,0.899820009
243,0.899820009
244,0.899820009
245,0.899820009
246,0.899820009
247,0.899820009
248,0.899820009
249,0.899820009
250,0.899820009
251,0.899820009
252,0.899820009
253,0.899820009
254,0.899820009
255,0.899820009
256,0.899820009
257,0.899820009
258,0.899820009
259,0.899820009
260,0.899820009
261,0.899820009
262,0.899820009
263,0.899820009
264,0.899820009
265,0.899820009
266,0.899820009
267,0.899820009
268,0.899820009
269,0.899820009
270,0.899820009
271,0.899820009
272,0.899820009
273,0.899820009
274,0.899820009
275,0.899820009
276,0.899820009
277,0.899820009
278,0.899820009
279,0.899820009
280,0.899820009
281,0.899820009
282,0.899820009
283,0.899820009
284,0.899820009
285,0.899820009
286,0.899820009
287,0.899820009
288,0.899820009
289,0.899820009
290,0.899820009
291,0.899820009
292,0.899820009
293,0.899820009
294,0.899820009
295,0.899820009
296,0.899820009
297,0.899820009
298,0.899820009
299,0.8997300269991001
300,0.8997300269991001
301,0.8997300269991001
302,0.8997300269991001
303,0.8997300269991001
304,0.8997300269991001
305,0.8997300269991001
306,0.8997300269991001
307,0.8997300269991001
308,0.8997300269991001
309,0.8997300269991001
310,0.8997300269991001
311,0.8997300269991001
312,0.8997300269991001
313,0.8997300269991001
314,0.8997300269991001
315,0.8997300269991001
316,0.8997300269991001
317,0.8997300269991001
318,0.8997300269991001
319,0.8997300269991001
320,0.8997300269991001
321,0.8997300269991001
322,0.8997300269991001
323,0.8997300269991001
324,0.8997300269991001
325,0.8997300269991001
326,0.8997300269991001
327,0.8997300269991001
328,0.8997300269991001
329,0.8997300269991001
330,0.8997300269991001
331,0.8997300269991001
332,0.8997300269991001
333,0.8997300269991001
334,0.8997300269991001
335,0.8997300269991001
336,0.8997300269991001
337,0.8997300269991001
338,0.8997300269991001
339,0.8997300269991001
340,0.8997300269991001
341,0.8997300269991001
342,0.8997300269991001
343,0.8997300269991001
344,0.8997300269991001
345,0.8997300269991001
346,0.8997300269991001
347,0.8997300269991001
348,0.8997300269991001
349,0.8997300269991001
350,0.8997300269991001
351,0.8997300269991001
352,0.8997300269991001
353,0.8997300269991001
354,0.8997300269991001
355,0.8997300269991001
356,0.8997300269991001
357,0.8997300269991001
358,0.8997300269991001
359,0.8997300269991001
360,0.8997300269991001
361,0.8997300269991001
362,0.8997300269991001
363,0.8997300269991001
364,0.8997300269991001
365,0.8997300269991001
366,0.8997300269991001
367,0.8997300269991001
368,0.8997300269991001
369,0.8997300269991001
370,0.8997300269991001
371,0.8997300269991001
372,0.8997300269991001
373,0.8997300269991001
374,0.8997300269991001
375,0.8997300269991001
376,0.8997300269991001
377,0.8997300269991001
378,0.8997300269991001
379,0.8997300269991001
380,0.8997300269991001
381,0.8997300269991001
382,0.8997300269991001
383,0.8997300269991001
384,0.8997300269991001
385,0.8997300269991001
386,0.8997300269991001
387,0.8997300269991001
388,0.8997300269991001
389,0.8997300269991001
390,0.8997300269991001
391,0.8997300269991001
392,0.8997300269991001
393,0.8997300269991001
394,0.8997300269991001
395,0.8997300269991001
396,0.8997300269991001
397,0.8997300269991001
398,0.8997300269991001
399,0.8996400539964002
400,0.8996400539964002
401,0.8996400539964002
402,0.8996400539964002
403,0.8996400539964002
404,0.8996400539964002
405,0.8996400539964002
406,0.8996400539964002
407,0.8996400539964002
408,0.8996400539964002
409,0.8996400539964002
410,0.8996400539964002
411,0.8996400539964002
412,0.8996400539964002
413,0.8996400539964002
414,0.8996400539964002
415,0.8996400539964002
416,0.8996400539964002
417,0.8996400539964002
418,0.8996400539964002
419,0.8996400539964002
420,0.8996400539964002
421,0.8996400539964002
422,0.8996400539964002
423,0.8996400539964002
424,0.8996400539964002
425,0.8996400539964002
426,0.8996400539964002
427,0.8996400539964002
428,0.8996400539964002
429,0.8996400539964002
430,0.8996400539964002
431,0.8996400539964002
432,0.8996400539964002
433,0.8996400539964002
434,0.8996400539964002
435,0.8996400539964002
436,0.8996400539964002
437,0.8996400539964002
438,0.8996400539964002
439,0.8996400539964002
440,0.8996400539964002
441,0.8996400539964002
442,0.8996400539964002
443,0.8996400539964002
444,0.8996400539964002
445,0.8996400539964002
446,0.8996400539964002
447,0.8996400539964002
448,0.8996400539964002
449,0.8996400539964002
450,0.8996400539964002
451,0.8996400539964002
452,0.8996400539964002
453,0.8996400539964002
454,0.8996400539964002
455,0.8996400539964002
456,0.8996400539964002
457,0.8996400539964002
458,0.8996400539964002
459,0.8996400539964002
460,0.8996400539964002
461,0.8996400539964002
462,0.8996400539964002
463,0.8996400539964002
464,0.8996400539964002
465,0.8996400539964002
466,0.8996400539964002
467,0.8996400539964002
468,0.8996400539964002
469,0.8996400539964002
470,0.8996400539964002
471,0.8996400539964002
472,0.8996400539964002
473,0.8996400539964002
474,0.8996400539964002
475,0.8996400539964002
